Date,Open,High,Low,Close,Volume,Adj Close
2013-01-28,19.61,19.63,17.98,18.09,10393000,18.09
2013-01-22,18.83,19.93,18.75,19.59,8842400,19.59
2013-01-14,19.81,19.89,19.09,19.15,10817500,19.15
2013-01-07,19.78,19.92,19.06,19.51,8381300,19.51
2012-12-31,18.79,20.23,18.65,20.05,7626300,20.05
2012-12-24,17.41,20.09,17.41,18.98,6359000,18.98
2012-12-17,18.93,20.46,18.91,19.80,13226100,19.80
2012-12-10,18.49,19.43,18.44,19.28,8616300,19.28
2012-12-03,17.89,18.58,17.65,18.53,7781000,18.53
2012-11-26,18.10,18.42,17.45,17.55,12288000,17.55
2012-11-19,18.75,18.91,17.78,18.25,6288800,18.25
2012-11-12,20.26,20.28,18.08,18.58,6623000,18.58
2012-11-05,20.56,21.43,20.05,20.22,6340500,20.22
2012-10-31,20.94,21.01,20.41,20.70,6731000,20.70
2012-10-22,21.92,22.06,21.16,21.70,4625200,21.70
2012-10-15,22.11,22.67,21.92,21.97,6317800,21.97
2012-10-08,21.84,22.23,21.64,21.93,5223600,21.93
2012-10-01,22.19,22.54,21.76,21.98,8380400,21.98
2012-09-24,22.57,22.82,21.88,22.07,7523600,22.07
2012-09-17,23.18,23.45,22.17,22.41,7839300,22.41
2012-09-10,21.13,23.88,20.93,23.32,8638000,23.32
2012-09-04,20.33,21.57,19.96,21.41,7454200,21.41
2012-08-27,20.77,21.10,20.44,20.58,9007500,20.58
2012-08-20,21.42,21.67,20.77,21.01,7771900,21.01
2012-08-13,20.96,21.40,20.51,21.36,8692800,21.36
2012-08-06,18.85,21.02,18.79,21.02,8965100,21.02
2012-07-30,19.92,20.01,18.65,19.67,9941000,19.67
2012-07-23,18.34,19.96,18.03,19.94,6996900,19.94
2012-07-16,19.30,19.63,18.77,19.05,5435200,19.05
2012-07-09,18.74,19.33,17.62,19.15,6968100,19.15
2012-07-02,18.17,19.55,18.08,18.85,9382200,18.85
2012-06-25,18.04,18.16,16.69,18.14,8855100,18.14
2012-06-18,17.93,19.95,17.80,18.96,9423900,18.96
2012-06-11,18.88,18.93,17.50,17.96,9203500,17.96
2012-06-04,18.47,19.69,18.41,18.69,9759000,18.69
2012-05-29,19.18,19.28,17.89,18.45,11094600,18.45
2012-05-21,18.99,20.07,18.19,18.66,8794000,18.66
2012-05-14,19.17,19.71,18.42,18.91,8745200,18.91
2012-05-07,21.17,21.52,19.94,20.00,7416900,19.79
2012-04-30,22.26,22.93,20.97,21.21,7575100,20.99
2012-04-23,22.44,22.88,22.04,22.19,8408500,21.96
2012-04-16,23.82,23.84,22.68,22.98,4866500,22.74
2012-04-09,23.74,24.12,22.95,23.58,6200000,23.33
2012-04-02,25.23,25.71,23.63,24.15,11287400,23.90
2012-03-26,26.54,26.71,25.00,25.56,8314400,25.29
2012-03-19,26.67,27.31,25.92,26.20,6773800,25.93
2012-03-12,26.20,27.66,25.68,26.85,8036600,26.44
2012-03-05,29.03,29.05,26.50,26.61,6658500,26.20
2012-02-27,28.71,29.17,28.21,29.11,10111000,28.66
2012-02-21,27.98,28.75,27.41,28.45,6583100,28.01
2012-02-13,28.08,28.58,26.47,27.98,8467800,27.55
2012-02-06,28.50,30.20,27.25,27.45,10126800,27.03
2012-01-30,28.14,29.20,27.87,28.72,9155200,28.28
2012-01-23,27.67,29.76,27.67,28.66,7047300,28.22
2012-01-17,26.46,27.91,26.46,27.65,7715100,27.22
2012-01-09,24.44,26.32,24.37,25.93,8181900,25.53
2012-01-03,23.99,24.93,23.96,24.13,4711800,23.76
2011-12-27,24.04,24.16,22.67,23.49,3093500,22.92
2011-12-19,23.19,24.26,22.44,24.25,5380900,23.66
2011-12-12,25.02,25.02,23.01,23.08,8303900,22.52
2011-12-05,25.72,26.47,24.74,25.64,6064300,25.01
2011-11-28,23.40,25.50,23.30,25.24,7331000,24.62
2011-11-21,24.26,24.58,22.56,22.64,5984000,22.09
2011-11-14,25.28,25.55,24.27,24.72,5091300,24.12
2011-11-07,25.75,26.61,24.35,25.61,7536300,24.76
2011-10-31,25.91,25.98,23.70,25.75,7829300,24.89
2011-10-24,22.00,25.96,21.97,25.87,9467400,25.01
2011-10-17,22.83,22.91,20.92,22.14,5631500,21.40
2011-10-10,21.35,23.14,21.32,23.10,7645100,22.33
2011-10-03,20.31,21.81,19.26,20.92,9951700,20.22
