Data,Open,High,Low,Close,Volume,OI
2014-10-06 00:00:00,15.92,17.02,15.00,15.37,4493189,14373
2014-10-07 00:00:00,15.41,15.77,15.08,15.37,1727406,7845
2014-10-08 00:00:00,15.66,16.47,14.64,15.19,894622,10211
2014-10-09 00:00:00,15.48,15.92,14.49,14.89,1186313,8328
2014-10-10 00:00:00,14.64,14.64,13.21,13.43,2331428,14145
2014-10-13 00:00:00,13.76,14.09,12.81,13.47,1634730,14260
2014-10-14 00:00:00,13.21,14.13,13.17,13.36,2386235,6516
2014-10-15 00:00:00,13.17,13.43,12.81,13.03,449348,5532
2014-10-16 00:00:00,12.81,13.47,12.48,13.17,680827,4299
2014-10-17 00:00:00,13.21,14.09,13.14,14.09,312597,2708
2014-10-20 00:00:00,13.61,13.94,13.17,13.36,452943,3443
2014-10-21 00:00:00,13.10,13.17,12.33,12.52,1092785,5993
2014-10-22 00:00:00,12.55,12.92,11.67,12.26,659974,3486
2014-10-23 00:00:00,12.15,12.15,11.38,11.71,1080215,7492
2014-10-24 00:00:00,11.49,12.99,11.23,12.99,868470,8356
2014-10-27 00:00:00,11.42,13.17,11.38,13.06,321678,6801
2014-10-28 00:00:00,13.28,14.24,13.03,14.24,496592,2127
2014-10-29 00:00:00,14.09,15.00,13.72,14.42,544422,7454
2014-10-30 00:00:00,14.78,14.78,13.83,14.09,329055,2369
2014-10-31 00:00:00,14.09,15.19,13.76,15.19,267111,3929
2014-11-03 00:00:00,15.19,15.19,14.20,14.38,195153,1434
2014-11-04 00:00:00,14.24,14.56,14.09,14.45,316778,2910
2014-11-05 00:00:00,14.27,14.89,14.02,14.45,748150,4302
2014-11-06 00:00:00,14.20,14.75,13.50,13.76,764635,5867
2014-11-07 00:00:00,13.65,13.91,13.10,13.91,408043,4197
2014-11-10 00:00:00,13.91,14.24,13.76,14.16,320107,4061
2014-11-11 00:00:00,13.94,14.24,13.80,13.91,123516,1400
2014-11-12 00:00:00,13.83,14.20,13.80,14.09,131798,1429
2014-11-13 00:00:00,13.94,14.24,13.76,13.76,232703,2087
2014-11-14 00:00:00,13.61,13.83,13.21,13.54,356485,2593
2014-11-17 00:00:00,13.58,13.61,13.10,13.14,133662,1163
2014-11-18 00:00:00,13.14,13.25,12.88,13.17,171851,2026
2014-11-19 00:00:00,13.25,13.65,13.06,13.36,414621,2431
2014-11-21 00:00:00,13.54,14.09,13.10,13.80,734302,5201
2014-11-24 00:00:00,13.94,14.09,13.03,13.03,430840,2927
2014-11-25 00:00:00,13.06,13.36,12.63,12.63,686020,3941
2014-11-26 00:00:00,12.74,12.88,12.00,12.19,819069,3610
2014-11-27 00:00:00,12.26,12.74,12.26,12.48,401359,2362
2014-11-28 00:00:00,12.41,12.81,12.37,12.70,193156,1095
2014-12-01 00:00:00,12.55,12.59,11.93,12.08,208070,2862
2014-12-02 00:00:00,12.08,12.08,11.27,11.56,325220,1972
2014-12-03 00:00:00,11.64,11.64,11.02,11.27,919362,5225
2014-12-04 00:00:00,11.34,11.34,10.83,10.83,368203,3549
2014-12-05 00:00:00,10.80,11.05,10.43,10.65,421013,4025
2014-12-08 00:00:00,10.80,10.80,9.73,9.88,718217,3466
2014-12-09 00:00:00,9.62,10.39,9.55,9.88,398562,3451
2014-12-10 00:00:00,9.88,10.21,9.73,10.06,1048683,2875
2014-12-11 00:00:00,10.06,10.39,9.73,10.39,205007,2524
2014-12-12 00:00:00,10.10,10.50,10.06,10.43,562504,2925
2014-12-15 00:00:00,10.43,10.43,9.99,10.14,330254,4666
2014-12-16 00:00:00,9.95,10.43,9.81,10.39,512011,3153
2014-12-17 00:00:00,10.47,10.54,10.10,10.43,752598,6785
2014-12-18 00:00:00,10.36,10.50,9.95,10.43,212357,2920
2014-12-19 00:00:00,10.21,10.36,9.81,10.06,1631267,3760
2014-12-22 00:00:00,10.03,10.39,10.03,10.39,114727,1109
2014-12-23 00:00:00,10.25,10.43,10.14,10.39,117683,1320
2014-12-26 00:00:00,10.28,10.36,10.10,10.25,81012,1149
2014-12-29 00:00:00,10.17,10.50,9.99,10.43,241998,2137
2014-12-30 00:00:00,10.50,10.54,10.17,10.47,284155,1624
2015-01-02 00:00:00,10.28,10.91,10.06,10.72,706153,5044
2015-01-05 00:00:00,10.54,10.80,9.73,9.88,311771,1847
2015-01-06 00:00:00,9.88,9.95,9.37,9.59,314541,2895
2015-01-07 00:00:00,9.62,10.06,9.48,9.70,290413,2997
2015-01-08 00:00:00,9.66,9.77,9.40,9.70,256379,1445
2015-01-09 00:00:00,9.77,9.88,9.33,9.48,205593,1863
2015-01-12 00:00:00,9.70,9.70,9.08,9.08,126365,1256
2015-01-13 00:00:00,9.11,9.15,8.53,8.71,312970,3362
2015-01-14 00:00:00,8.64,8.78,8.12,8.34,517870,6313
2015-01-15 00:00:00,8.38,8.71,8.31,8.60,376166,2302
2015-01-16 00:00:00,8.67,8.93,8.45,8.75,147936,1649
2015-01-19 00:00:00,8.78,8.78,8.05,8.05,237976,777
2015-01-20 00:00:00,8.45,8.45,8.05,8.20,468922,2919
2015-01-21 00:00:00,8.27,8.49,8.09,8.49,540480,6766
2015-01-22 00:00:00,8.60,8.75,8.23,8.45,985301,4113
2015-01-23 00:00:00,8.49,8.64,8.16,8.53,290174,2434
